Gene_Name	pRDG
ACYP1	0.086369664
ACYP2	0.201592173
ADA	0.684358126
ADAD1	0.124274662
ADAL	0.113515972
ADAM10	0.374642876
ADAM11	0.114529019
ADAM12	0.231832216
ADAM15	0.13843825
ADAM17	0.381396553
ADAM18	0.081965725
ADAM19	0.131376355
ADAM2	0.116386664
ADAM20	0.072311925
ADAM21	0.092057321
ADAM21P	0.092057321
ADAM22	0.102516287
ADAM23	0.085935662
ADAM28	0.124510008
ADAM29	0.095805158
ADAM32	0.07564699
ADAM33	0.14638874
ADAM7	0.089670251
ADAM8	0.143011042
ADAM9	0.218278087
ADAMDEC1	0.103094967
ADAMTS1	0.164708525
ADAMTS10	0.120546544
ADAMTS12	0.120721002
ADAMTS13	0.128771052
ADAMTS14	0.123332067
ADAMTS15	0.145684374
ADAMTS16	0.132107388
ADAMTS17	0.123988493
ADAMTS18	0.095387934
ADAMTS19	0.106130529
ADAMTS2	0.314847734
ADAMTS20	0.092973079
ADAMTS3	0.116888603
ADAMTS4	0.193206798
ADAMTS5	0.251594658
ADAMTS6	0.119534045
ADAMTS7	0.110806339
ADAMTS8	0.123344311
ADAMTSL2	0.115167409
ADAMTSL3	0.109311007
ADAMTSL4	0.09865805
ADAMTSL5	0.10435869
ADAP1	0.128279805
ADAP2	0.115774715
ADAR	0.236486734
ADARB1	0.134310676
ADARB2	0.146375306
ADAT1	0.10094547
ADAT2	0.155454579
ADAT3	0.115910541
ADC	0.323505937
ADCK1	0.134377092
ADCK2	0.096236623
ADCK4	0.098143924
ADCK5	0.111367752
ADCY1	0.180883725
ADCY10	0.062614801
ADCY2	0.665269012
ADCY3	0.177124348
ADCY4	0.16481324
ADCY5	0.233308409
ADCY6	0.218821021
ADCY7	0.20313764
ADCY8	0.192244653
ADCY9	0.179286724
ADCYAP1	0.310979813
ADCYAP1R1	0.118862514
ADD1	0.390182673
ADD2	0.192866265
ADD3	0.152825975
ADFP	0.488224407
ADH1B	0.435590342
ADH4	0.183616472
ADH5	0.344079409
ADH6	0.091127287
ADH7	0.266623466
ADHFE1	0.594227623
ADI1	0.248181904
ADIPOQ	0.836038254
ADIPOR1	0.264876265
ADIPOR2	0.266352892
ADK	0.686202384
ADM	0.43834273
ADNP	0.132701202
ADNP2	0.105808443
ADORA1	0.238725705
ADORA2A	0.419294289
ADORA2B	0.18465592
ADORA3	0.167540718
ADPGK	0.146919843
ADPRH	0.103312405
ADPRHL2	0.112848157
ADRA1A	0.117715129
ADRA1B	0.245875425
ADRA2A	0.113711828
ADRA2B	0.111074415
ADRA2C	0.099566983
ADRB2	0.801848796
ADRB3	0.419642741
ADRBK1	0.452178534
ADRBK2	0.249744491
ADRM1	0.117478662
ADSL	0.312141418
ADSS	0.34803647
ADSSL1	0.155034705
AEBP1	0.149652569
AEBP2	0.112629347
AES	0.167651858
AFAP1L1	0.103516115
AFAP1L2	0.106615569
AFF1	0.184805561
AFF2	0.279636764
AFF3	0.126108593
AFF4	0.113251178
AFG3L2	0.109861914
AFM	0.127222355
AFMID	0.21820528
AFP	0.750005971
AFTPH	0.084849499
AGA	0.22020244
AGAP1	0.107201719
AGAP2	0.233010324
AGAP3	0.111898978
AGBL3	0.107713756
AGBL4	0.104350578
AGER	0.082934529
AGFG1	0.221638745
AGGF1	0.095007313
AGK	0.124293234
AGL	0.247926148
AGMAT	0.213352866
AGPAT2	0.160154929
AGPAT3	0.106970827
AGPAT4	0.10604284
AGPAT5	0.122798274
AGPAT6	0.133401014
AGPAT9	0.115110018
AGPS	0.196773689
AGR2	0.102119224
AGR3	0.118729391
AGRN	0.644991537
AGRP	0.353087926
AGT	0.622726026
AGTPBP1	0.143214221
AGTR1	0.823223772
AGTR2	0.424947144
AGXT	0.599816746
AGXT2	0.183778376
AGXT2L1	0.170160706
AGXT2L2	0.121876319
AHCTF1	0.094679719
AHCTF1P	0.094679719
AHCY	0.559365949
AHCYL1	0.191058673
AHCYL2	0.183530831
AHI1	0.127540959
AHR	0.739853587
AHRR	0.16352439
AHSA1	0.120714067
AHSG	0.391861244
AICDA	0.441789883
AIF1L	0.098869852
AIFM1	0.37971404
AIFM2	0.13527796
AIFM3	0.132078639
AIG1	0.083802196
AIM1	0.128764455
AIM1L	0.104780108
AIM2	0.092936658
AIP	0.133184714
AIPL1	0.105689323
AIRE	0.592758671
AJAP1	0.124129454
AK1	0.643210327
AK2	0.357936557
AK3	0.131862093
AK3L1	0.202455752
AK3L2	0.202455752
AK5	0.103604609
AK7	0.159920885
AKAP1	0.13449394
AKAP10	0.130553796
AKAP11	0.084193363
AKAP12	0.118410506
AKAP13	0.2200729
AKAP14	0.085745539
AKAP2	0.129024773
AKAP3	0.105973343
AKAP4	0.12717875
AKAP6	0.127214612
AKAP7	0.09911087
AKAP8	0.271159334
AKAP9	0.110600041
AKIRIN1	0.112629347
AKIRIN2	0.118095035
AKNA	0.082401683
AKR1A1	0.223078861
AKR1B1	0.480666487
AKR1B10	0.319560263
AKR1C3	0.306971878
AKR1C4	0.154444574
AKR1CL2	0.10234722
AKR1D1	0.168118871
AKR7A3	0.113884197
AKT1	0.999606
AKT1S1	0.214412396
AKT2	0.55644314
AKT3	0.249744491
AKTIP	0.177568541
ALAD	0.55928634
ALAS1	0.449441527
ALAS2	0.453275704
ALB	0.95809229
ALCAM	0.364953058
ALDH18A1	0.462984671
ALDH1A1	0.385668063
ALDH1A2	0.219593698
ALDH1A3	0.267721022
ALDH1B1	0.453024581
ALDH1L1	0.199044032
ALDH1L2	0.104138216
ALDH2	0.669890894
ALDH3A2	0.338419447
ALDH3B1	0.109502294
ALDH3B2	0.126845058
ALDH4A1	0.213049117
ALDH5A1	0.212481156
ALDH6A1	0.216944012
ALDH7A1	0.378121192
ALDH8A1	0.109886525
ALDH9A1	0.24685397
ALDOA	0.570755004
ALDOB	0.728209315
ALDOC	0.432649054
ALG1	0.190474266
ALG10B	0.08390667
ALG12	0.140564211
ALG14	0.109655219
ALG2	0.201733561
ALG5	0.150090771
ALG6	0.175675459
ALG8	0.172846994
ALG9	0.215682961
ALK	0.4188181
ALKBH1	0.083084904
ALKBH2	0.145682281
ALKBH3	0.138824902
ALKBH4	0.109039527
ALKBH6	0.10629606
ALKBH7	0.096309259
ALLC	0.144540987
ALMS1	0.110409954
ALOX12	0.242839209
ALOX15	0.244802424
ALOX5	0.387688
ALOX5AP	0.290710978
ALOXE3	0.153758737
ALPI	0.909714455
ALPK1	0.095788976
ALPK2	0.074812504
ALPK3	0.113260112
ALPL	0.927701469
ALPP	0.136737036
ALPPL2	0.18722143
ALS2CL	0.105832673
ALS2CR12	0.058542724
ALS2CR16	0.105627639
ALS2CR8	0.105371305
ALX1	0.103115176
ALX3	0.099928334
ALX4	0.216438074
AMAC1L1	0.103618247
AMAC1L2	0.103618247
AMAC1L3	0.103618247
AMACR	0.313904467
AMBN	0.066505423
AMBP	0.34303285
AMBRA1	0.103634942
AMD1	0.29043038
AMDHD1	0.114082825
AMDHD2	0.153631015
AMELX	0.248019038
AMFR	0.172495085
AMHR2	0.158476288
AMICA1	0.119605102
AMIGO1	0.118095035
AMIGO2	0.127585098
AMIGO3	0.100473713
AMMECR1	0.338172505
AMMECR1L	0.075906146
AMN1	0.108635587
AMOT	0.094904834
AMOTL1	0.106591997
AMOTL2	0.107187759
AMPD1	0.44922254
AMPD2	0.216833222
AMPD3	0.306855952
AMPH	0.190536765
AMT	0.277283654
AMTN	0.054672238
AMY1A	0.480839273
AMY1B	0.40177482
AMY1C	0.376317759
AMY2A	0.489220371
AMY2B	0.387385345
AMZ1	0.105882433
AMZ2	0.100685366
ANAPC1	0.095775606
ANAPC10	0.155881126
ANAPC11	0.061067344
ANAPC13	0.112629347
ANAPC2	0.116838698
ANAPC4	0.124810233
ANAPC7	0.164801137
ANGEL1	0.087467207
ANGPT1	0.397470463
ANGPT2	0.10710603
ANGPT4	0.118288813
ANGPTL1	0.121231532
ANGPTL2	0.134433557
ANGPTL5	0.107154642
ANGPTL7	0.12577411
ANK1	0.748082358
ANK2	0.132102656
ANK3	0.229496006
ANKAR	0.096979461
ANKDD1A	0.091639762
ANKDD1B	0.066882148
ANKFY1	0.123934314
ANKHD1	0.111675782
ANKK1	0.109659658
ANKLE1	0.094390613
ANKRA2	0.120801783
ANKRD1	0.156925032
ANKRD11	0.107360998
ANKRD12	0.100989873
ANKRD13A	0.092643329
ANKRD13B	0.110593276
ANKRD13D	0.104107136
ANKRD19	0.089312702
ANKRD2	0.131167664
ANKRD23	0.117700706
ANKRD24	0.082263872
ANKRD26	0.101562988
ANKRD27	0.103532634
ANKRD28	0.096831991
ANKRD29	0.073991689
ANKRD34B	0.093063998
ANKRD42	0.104475826
ANKRD44	0.108329734
ANKRD45	0.094696498
ANKRD46	0.090296459
ANKRD49	0.112375546
ANKRD5	0.093258554
ANKRD50	0.108700874
ANKRD53	0.093625414
ANKRD54	0.112629347
ANKRD6	0.110105489
ANKS1A	0.116414055
ANKS1B	0.209625724
ANKS3	0.099110809
ANKS4B	0.089803633
ANKS6	0.103723252
ANKZF1	0.074664749
ANLN	0.152341038
ANO1	0.122579272
ANO10	0.095652933
ANO3	0.128648634
ANO4	0.132728394
ANO5	0.116639577
ANO7	0.105702576
ANO8	0.093968075
ANO9	0.096913775
ANP32A	0.259915145
ANP32B	0.108743146
ANP32C	0.061131186
ANP32E	0.136031626
ANPEP	0.856724971
ANTXR1	0.135884977
ANTXR2	0.108934031
ANUBL1	0.089753243
ANXA1	0.519799207
ANXA10	0.093650564
ANXA11	0.139393933
ANXA13	0.127914831
ANXA2	0.850561738
ANXA2P2	0.850561738
ANXA3	0.169516194
ANXA4	0.196222083
ANXA5	0.463576865
ANXA6	0.208652529
ANXA7	0.327438673
ANXA8	0.134340025
ANXA9	0.097706191
AOAH	0.115228052
AOC2	0.832255923
AOC3	0.202401594
AOF1	0.122998802
AOF2	0.211027913
AOX1	0.401094381
AP1B1	0.225458909
AP1G1	0.119287079
AP1G2	0.097222113
AP1GBP1	0.098028482
AP1M1	0.178212948
AP1S1	0.138032852
AP1S2	0.050687757
AP1S3	0.103152386
AP2A1	0.357837711
AP2A2	0.151738998
AP2B1	0.31324431
AP2M1	0.247003781
AP2S1	0.163060049
AP3B1	0.3160816
AP3B2	0.1935255
AP3D1	0.188467098
AP3M1	0.127177045
AP3M2	0.094225822
AP3S1	0.142298242
AP3S2	0.118095035
AP4B1	0.110861198
AP4E1	0.099572836
AP4M1	0.138090929
APAF1	0.54535884
APBA1	0.221379567
APBA2	0.205247083
APBA3	0.128760465
APBB1	0.359534448
APBB1IP	0.107715351
APBB2	0.236525659
APBB3	0.14066608
APC	0.570927082
APC2	0.142499772
APCDD1	0.109845147
APCS	0.237134088
APEH	0.304202877
APEX1	0.759939849
APEX2	0.135447927
APH1A	0.105748101
APH1B	0.171704622
API5	0.112629347
APIP	0.119837191
APITD1	0.266046433
APLF	0.073254719
APLN	0.028752688
APLNR	0.191290822
APLP1	0.61664557
APLP2	0.200361059
APOA1BP	0.085688927
APOA2	0.430864049
APOA4	0.096869435
APOA5	0.357153427
APOB	0.882739425
APOBEC1	0.148911819
APOBEC2	0.120321139
APOBEC3C	0.059224139
APOBEC3D	0.049224263
APOBEC3F	0.050745094
APOBEC3G	0.056802805
APOBEC3H	0.118570352
APOBEC4	0.089738123
APOC1	0.471324961
APOC2	0.102971244
APOC3	0.730680744
APOC4	0.295896081
APOD	0.417600107
APOE	0.997564154
APOF	0.14509298
APOH	0.649993792
APOL2	0.050829976
APOL4	0.079557649
APOO	0.115328665
APP	0.557408925
APPBP2	0.168629434
APPL2	0.095593771
APRT	0.094637053
APTX	0.292877356
AQP1	0.405887109
AQP10	0.103752373
AQP11	0.111093875
AQP12A	0.088579231
AQP2	0.606464092
AQP3	0.339017164
AQP4	0.345471327
AQP5	0.241050041
AQP6	0.139832772
AQP7	0.132406451
AQP7P1	0.081000452
AQP7P3	0.078737321
AQP7P4	0.081083769
AQP8	0.135698008
AQP9	0.116641084
AQR	0.099493288
AR	0.974651079
ARAF	0.353003434
ARAP1	0.17391275
ARAP3	0.125823943
ARC	0.139828536
ARCN1	0.176115367
ARD1A	0.281046212
ARD1B	0.09160493
AREG	0.102754055
AREGB	0.319664219
ARF1	0.220858067
ARF4	0.362549146
ARF5	0.135884977
ARF6	0.413369372
ARFGAP1	0.107299759
ARFGAP2	0.128888122
ARFGAP3	0.10665604
ARFGEF1	0.282703339
ARFGEF2	0.150114135
ARFIP1	0.113235574
ARFIP2	0.146096958
ARFRP1	0.235086368
ARG1	0.431268685
ARG2	0.487255065
ARGFX	0.052158263
ARGLU1	0.068332573
ARHGAP1	0.307843024
ARHGAP10	0.122726885
ARHGAP11A	0.080581933
ARHGAP12	0.135101486
ARHGAP15	0.126767688
ARHGAP18	0.113085387
ARHGAP20	0.133129095
ARHGAP21	0.154728647
ARHGAP22	0.135153251
ARHGAP23	0.096429868
ARHGAP24	0.124356408
ARHGAP25	0.120154021
ARHGAP26	0.361350803
ARHGAP27	0.095169076
ARHGAP28	0.113297565
ARHGAP29	0.088726015
ARHGAP4	0.233381078
ARHGAP5	0.164019499
ARHGAP6	0.139795089
ARHGAP8	0.139311453
ARHGAP9	0.212982736
ARHGDIB	0.156997176
ARHGDIG	0.122389678
ARHGEF1	0.150304526
ARHGEF10L	0.107101374
ARHGEF11	0.150727079
ARHGEF15	0.101023668
ARHGEF16	0.141207864
ARHGEF17	0.104009617
ARHGEF18	0.104429858
ARHGEF2	0.11124075
ARHGEF3	0.123784616
ARHGEF5	0.09335474
ARHGEF6	0.266016113
ARHGEF7	0.624095527
ARHGEF9	0.114832044
ARID1A	0.150822106
ARID1B	0.126455109
ARID2	0.102417865
ARID3A	0.111282142
ARID3B	0.106446683
ARID3C	0.081042347
ARID4A	0.210871117
ARID4B	0.259209037
ARID5A	0.097114618
ARID5B	0.113608228
ARIH2	0.081791771
ARL1	0.284878758
ARL11	0.09957819
ARL13B	0.099561366
ARL14	0.089805501
ARL15	0.105100386
ARL2BP	0.068231686
ARL3	0.142569822
ARL4A	0.107033305
ARL4C	0.129100175
ARL4D	0.129717038
ARL5A	0.123788961
ARL5B	0.123788961
ARL6	0.208154449
ARL6IP1	0.107722575
ARL6IP5	0.115769453
ARL6IP6	0.095095631
ARL8A	0.075678317
ARL8B	0.155881126
ARL9	0.085659262
ARMC1	0.123788961
ARMC10	0.106437926
ARMC2	0.083441698
ARMC3	0.098586399
ARMC4	0.090886174
ARMC6	0.102026899
ARMC7	0.106610728
ARMC8	0.112629347
ARMC9	0.243087459
ARMCX1	0.104177542
ARMCX2	0.098258564
ARMCX3	0.106874723
ARMET	0.134840864
ARMETL1	0.125714259
ARNT	0.228628066
ARNT2	0.185815593
ARNTL	0.394663747
ARNTL2	0.096514933
ARPC1A	0.103811134
ARPC1B	0.128971986
ARPC2	0.178212948
ARPC3	0.176055004
ARPC4	0.098900328
ARPC5L	0.170502808
ARR3	0.192459562
ARRB1	0.174519797
ARRB2	0.579423938
ARRDC3	0.138814035
ARRDC4	0.109758748
ARSA	0.697689374
ARSB	0.256368965
ARSD	0.143720761
ARSE	0.097808573
ARSF	0.12262998
ARSG	0.126021624
ARSI	0.158050515
ARSJ	0.109967892
ART1	0.181626719
ART3	0.110979566
ART4	0.20381309
ART5	0.137172592
ARTN	0.180289789
ARVCF	0.127716571
ARX	0.146627218
AS3MT	0.126255768
ASAH1	0.289034492
ASAH2	0.128950566
ASAH2C	0.128950566
ASAP1	0.176565515
ASAP2	0.111770808
ASB1	0.109905135
ASB10	0.096996467
ASB11	0.103115656
ASB12	0.105911404
ASB13	0.119992345
ASB15	0.103834552
ASB16	0.105364878
ASB17	0.077430647
ASB2	0.135323817
ASB3	0.107091317
ASB4	0.097625628
ASB5	0.126338472
ASB6	0.109588387
ASB7	0.112629347
ASB8	0.123788961
ASB9	0.078271957
ASCC1	0.076135121
ASCC2	0.122332816
ASCC3	0.11285904
ASCL1	0.475849043
ASCL2	0.099703702
ASCL3	0.099125389
ASCL4	0.087922081
ASF1A	0.129717038
ASF1B	0.123868565
ASGR1	0.384843392
ASH2L	0.117051703
ASL	0.454359171
ASNA1	0.178212948
ASNS	0.259942985
ASNSD1	0.089963566
ASPG	0.116918365
ASPH	0.181316874
ASPHD2	0.10673671
ASPM	0.086724034
ASPN	0.163999731
ASPRV1	0.10518433
ASPSCR1	0.439172065
ASRGL1	0.278041025
ASS1	0.808402103
ASTE1	0.08341476
ASTL	0.096227343
ASTN1	0.116669487
ASTN2	0.110081713
ASXL1	0.078723607
ASXL2	0.0770929
ASZ1	0.169979944
ATAD1	0.129717038
ATAD2	0.128953127
ATAD3A	0.103179747
ATAD3B	0.123766451
ATAD4	0.108690349
ATE1	0.11687312
ATF1	0.18118
ATF2	0.281046212
ATF3	0.56655352
ATF4	0.568305089
ATF5	0.13429646
ATF6	0.279856404
ATF7	0.11887584
ATF7IP	0.106197948
ATF7IP2	0.084353544
ATG10	0.08777679
ATG12	0.105877981
ATG16L1	0.106462506
ATG2A	0.111219941
ATG3	0.119349351
ATG4A	0.098090814
ATG4B	0.10738507
ATG4C	0.096937922
ATG4D	0.105988998
ATG5	0.170502808
ATG7	0.172662117
ATG9A	0.109926305
ATG9B	0.147786221
ATHL1	0.09640084
ATIC	0.699729206
ATL1	0.159243988
ATL2	0.115630831
ATM	0.157827337
ATMIN	0.109957548
ATN1	0.523457407
ATOH1	0.283127365
ATOH8	0.118787892
ATOX1	0.091918173
ATP10A	0.158313936
ATP10B	0.099802049
ATP10D	0.094500447
ATP11A	0.106428226
ATP11B	0.110760976
ATP11C	0.102054127
ATP12A	0.234633696
ATP13A2	0.161223686
ATP13A3	0.096955365
ATP13A4	0.098626082
ATP13A5	0.079830304
ATP1A1	0.333036042
ATP1A2	0.228676473
ATP1A3	0.184228432
ATP1A4	0.110481521
ATP1B1	0.248129323
ATP1B2	0.120941661
ATP1B3	0.11956715
ATP1B4	0.100449851
ATP2A2	0.461299862
ATP2A3	0.197951662
ATP2B1	0.230213311
ATP2B2	0.180457521
ATP2B3	0.147535719
ATP2B4	0.179223965
ATP2C1	0.208998986
ATP2C2	0.105086197
ATP4A	0.13523886
ATP4B	0.139087861
ATP5A1	0.584009364
ATP5B	0.705437746
ATP5C1	0.56962857
ATP5D	0.144515286
ATP5F1	0.1062223
ATP5G1	0.11227777
ATP5G2	0.098434011
ATP5G3	0.10445868
ATP5H	0.130526414
ATP5J	0.12052006
ATP5J2	0.327783771
ATP5L	0.129717038
ATP5O	0.300226117
ATP5S	0.070629234
ATP5SL	0.078810713
ATP6AP1	0.08671949
ATP6AP2	0.199663534
ATP6V0A1	0.503411067
ATP6V0A2	0.374081119
ATP6V0A4	0.223047687
ATP6V0B	0.114578017
ATP6V0C	0.161138011
ATP6V0D1	0.259915145
ATP6V0D2	0.136470286
ATP6V0E1	0.134017967
ATP6V1A	0.237280524
ATP6V1B1	0.323624144
ATP6V1B2	0.279266235
ATP6V1C1	0.148962011
ATP6V1C2	0.118250232
ATP6V1D	0.163060049
ATP6V1E1	0.118469879
ATP6V1E2	0.121317587
ATP6V1G1	0.125494333
ATP6V1G3	0.116512244
ATP6V1H	0.182238873
ATP7B	0.636044072
ATP8A1	0.111106937
ATP8A2	0.222852218
ATP8B1	0.166804244
ATP8B4	0.085144622
ATP9A	0.117747675
ATP9B	0.10686528
ATPAF1	0.099374601
ATPAF2	0.145929528
ATPBD3	0.119552966
ATPIF1	0.096708359
ATR	0.143255429
ATRIP	0.205257776
ATRN	0.173658325
ATRNL1	0.107641653
ATRX	0.563162384
ATXN1	0.429311575
ATXN10	0.161681838
ATXN2	0.250083196
ATXN2L	0.120835863
ATXN3	0.347579378
ATXN3L	0.103791509
ATXN7	0.439820026
ATXN7L1	0.093374118
ATXN7L2	0.074300753
ATXN7L3	0.112629347
AUH	0.332905491
AUP1	0.120456353
AURKA	0.228539117
AURKAIP1	0.098730613
AURKB	0.207936427
AURKC	0.095460946
AUTS2	0.107500762
AVEN	0.139902755
AVIL	0.122465709
AVL9	0.100891283
AVPR1A	0.164827212
AVPR1B	0.101688712
AVPR2	0.588938656
AXIN1	0.097812273
AXIN2	0.289138349
AXL	0.232886227
AXUD1	0.099625559
AZGP1	0.134419998
AZI1	0.142753253
AZI2	0.110920752
AZIN1	0.114979497
AZU1	0.400489582
B2M	0.78296479
B3GALNT1	0.179870054
B3GALT1	0.148962011
B3GALT2	0.116590586
B3GALT5	0.11493406
B3GALTL	0.137533393
B3GAT1	0.448381762
B3GAT2	0.162358737
B3GAT3	0.13137944
B3GNT1	0.123210569
B3GNT2	0.123210569
B3GNT3	0.111466154
B3GNT4	0.152916088
B3GNT5	0.122305979
B3GNT7	0.104725478
B3GNTL1	0.104452912
B4GALNT1	0.247464851
B4GALNT2	0.283647441
B4GALNT3	0.103239588
B4GALNT4	0.09235561
B4GALT1	0.209546935
B4GALT2	0.10739891
B4GALT3	0.120433527
B4GALT4	0.124697843
B4GALT5	0.139522071
B4GALT6	0.266941232
B4GALT7	0.117968203
B9D2	0.132703877
BAALC	0.060788203
BAAT	0.105773732
BACE1	0.321450534
BACE2	0.355369596
BACH1	0.128795429
BACH2	0.176315907
BAD	0.533794873
BAG1	0.434838625
BAG2	0.173026356
BAG3	0.210924112
BAG4	0.153184377
BAG5	0.203971212
BAHD1	0.105832538
BAI1	0.1959013
BAI2	0.105877146
BAIAP2	0.1601571
BAIAP2L1	0.120011875
BAIAP3	0.09988587
BAK1	0.416987529
BAMBI	0.280828816
BANF1	0.375017417
BANF2	0.10330402
BANK1	0.110227406
BANP	0.134155073
BAP1	0.106139042
BARD1	0.282453507
BARHL1	0.16046959
BARHL2	0.102251178
BARX1	0.178212948
BARX2	0.109313804
BASP1	0.138184586
BAT2	0.095969746
BAT2D1	0.097025848
BAT2L	0.090768707
BAT5	0.106827152
BATF	0.163060049
BATF2	0.076151368
BATF3	0.105784883
BAX	0.851506562
BAZ1A	0.102122346
BAZ1B	0.140024474
BAZ2A	0.100138244
BAZ2B	0.094918181
BBOX1	0.191326665
BBS10	0.148990968
BBS12	0.172834901
BBS2	0.095487255
BBS4	0.327749729
BBS5	0.224880086
BBS7	0.179491031
BBS9	0.200848911
BBX	0.090346793
BCAM	0.159850943
BCAN	0.156771533
BCAP29	0.081761619
BCAP31	0.169184752
BCAR3	0.16494844
BCAS1	0.089090577
BCAS2	0.118095035
BCAS4	0.094881847
BCAT1	0.178081543
BCAT2	0.179877426
BCCIP	0.08875223
BCHE	0.505309314
BCKDHA	0.109393611
BCKDHB	0.376658905
BCKDK	0.122533402
BCL10	0.266030204
BCL11A	0.169672913
BCL11B	0.16232512
BCL2	0.983315429
BCL2A1	0.338423235
BCL2L1	0.757830359
BCL2L10	0.135705239
BCL2L11	0.481823682
BCL2L12	0.097274352
BCL2L14	0.081597867
BCL2L15	0.075772474
BCL2L2	0.20084382
BCL2L7P1	0.416987529
