Gene_Name	RVIS
ABLIM2	-1.506435464
ABLIM3	-1.150005948
ABP1	-0.591542347
ABR	-1.03976177
ABRA	-0.201976964
ABRACL	0.035072054
ABT1	-0.271755481
ABTB1	-0.951568548
ABTB2	-1.01227212
ACAA1	0.064394823
ACAA2	-0.578583623
ACACA	-1.613071123
ACACB	-1.974635129
ACAD10	-0.538378753
ACAD11	0.604424343
ACAD8	-0.380166007
ACAD9	-0.841329384
ACADL	-0.358119787
ACADM	-0.247889024
ACADS	-0.200157416
ACADSB	-0.402212257
ACADVL	0.025760883
ACAN	1.284310712
ACAP1	0.001895464
ACAP2	-0.602450568
ACAP3	-0.352661697
ACAT1	-0.538132194
ACAT2	-0.359940251
ACBD3	0.150760231
ACBD4	0.463046108
ACBD5	-0.556537043
ACBD6	-0.427900189
ACBD7	0.147123112
ACCS	0.290313621
ACCSL	-0.154246007
ACD	-0.598810865
ACE	-0.573431473
ACE2	0.885576705
ACER1	-0.025608647
ACER2	0.17280645
ACER3	0.058937498
ACHE	-0.598810865
ACIN1	-0.435396074
ACLY	-0.773369631
ACMSD	-0.404032746
ACN9	0.3032669
ACO1	-1.082044518
ACO2	-0.997481928
ACOT11	0.720128343
ACOT12	0.156217551
ACOT13	0.325313577
ACOT4	0.284856336
ACOT6	0.547599505
ACOT7	-0.756778259
ACOT8	0.110306132
ACOT9	0.439181676
ACOX1	0.134171522
ACOX2	-0.573127851
ACOX3	-0.788160233
ACOXL	1.86668643
ACP1	0.260991686
ACP2	0.086440867
ACP5	0.354632714
ACP6	0.863528995
ACPL2	-0.378346116
ACPP	-0.602450568
ACPT	-0.222203495
ACR	-0.602450568
ACRBP	-0.688817379
ACRC	-0.354480518
ACRV1	0.082802743
ACSBG1	-0.372889896
ACSBG2	1.715972423
ACSF2	-0.178111357
ACSF3	-0.881793075
ACSL1	-0.841329384
ACSL3	0.132352165
ACSL4	-0.560178693
ACSL5	0.268267497
ACSL6	-0.642904474
ACSM1	0.115764778
ACSM2A	0.407828206
ACSM2B	0.560331224
ACSM3	1.289723716
ACSM4	-0.464712395
ACSM5	3.184574415
ACSS1	-0.949752638
ACSS2	-0.486758915
ACSS3	-0.422438699
ACTA1	-0.295622497
ACTA2	-0.273576253
ACTB	-0.670411825
ACTBL2	0.88921411
ACTC1	-0.207437529
ACTG1	-1.927246174
ACTG2	-0.361761279
ACTL6A	0.283038099
ACTL6B	-0.339715008
ACTL7A	-0.132199953
ACTL7B	-0.290161348
ACTL8	-0.067881249
ACTL9	0.330767508
ACTN1	-1.328217086
ACTN2	-1.723336008
ACTN4	-0.705410796
ACTR10	-0.249709319
ACTR1A	-0.361761279
ACTR1B	-0.358119787
ACTR2	-0.09720619
ACTR3	0.125076652
ACTR3B	-0.427900189
ACTR3C	0.479642105
ACTR5	0.266447942
ACTR6	-0.249709319
ACTR8	-0.622676946
ACTRT1	0.374860183
ACTRT2	0.486911049
ACTRT3	0.949904335
ACVR1	-0.514264485
ACVR1B	-0.405853867
ACVR1C	-0.049474214
ACVR2A	-0.339715008
ACVR2B	-0.778825328
ACVRL1	-1.021348453
ACY1	0.330767508
ACY3	-0.244249595
ACYP1	-0.031067188
ACYP2	0.080983847
ADA	-0.091746757
ADAD1	-0.22584292
ADAD2	0.141451114
ADAL	0.260991686
ADAM10	-0.381986487
ADAM11	-1.065444789
ADAM12	0.009173042
ADAM15	-0.571310997
ADAM17	0.598963042
ADAM18	0.586023223
ADAM19	0.918552705
ADAM2	0.870809653
ADAM20	-0.130380821
ADAM21	-0.108334733
ADAM22	-0.551080959
ADAM23	-0.044015879
ADAM28	0.762397607
ADAM29	0.113945049
ADAM30	-0.306750577
ADAM32	0.380318343
ADAM33	0.802845857
ADAM7	0.119404819
ADAM9	-0.201976964
ADAMDEC1	1.39815152
ADAMTS1	0.073492312
ADAMTS10	-1.320975027
ADAMTS12	0.865222355
ADAMTS13	0.622690987
ADAMTS14	-0.5513802
ADAMTS15	0.676034544
ADAMTS16	0.679686641
ADAMTS17	-2.267592656
ADAMTS18	-0.088332259
ADAMTS19	-0.551080959
ADAMTS2	-1.800772772
ADAMTS20	-0.753453827
ADAMTS3	-0.654057602
ADAMTS4	0.093718683
ADAMTS5	0.248041348
ADAMTS6	-0.574945567
ADAMTS7	2.519370135
ADAMTS8	0.672386703
ADAMTS9	-2.392891714
ADAMTSL1	-0.860112269
ADAMTSL3	0.334233824
ADAMTSL4	-0.00377668
ADAMTSL5	0.442818085
ADAP1	-0.933156985
ADAP2	-0.449946534
ADAR	-0.639268965
ADARB1	-0.800872469
ADARB2	-0.505170032
ADAT1	0.801024817
ADAT2	0.193034296
ADC	7.61E-05
ADCK1	-1.151821487
ADCK2	0.692611128
ADCK3	-1.701282638
ADCK4	0.025760883
ADCK5	-0.003562597
ADCY1	-1.394367777
ADCY10	0.639248104
ADCY2	0.115764778
ADCY3	-2.166248113
ADCY4	-2.320657243
ADCY5	-2.388633592
ADCY6	-1.186862251
ADCY7	-3.024935465
ADCY8	-1.280491183
ADCY9	-1.780505741
ADCYAP1	-0.185391282
ADCYAP1R1	-0.159704656
ADD1	-0.929520514
ADD2	-0.260839617
ADD3	0.156217551
ADH1A	-0.449946534
ADH1B	0.553050905
ADH4	0.174625237
ADH5	0.193034296
ADH6	-0.315847836
ADH7	0.220536484
ADHFE1	-0.446304853
ADI1	-0.205617011
ADIG	0.080983847
ADIPOQ	0.128714042
ADIPOR1	-0.295622497
ADIPOR2	0.281220278
ADK	-0.339715008
ADM	0.237127192
ADNP	-1.414605945
ADNP2	-1.497391194
ADO	0.080983847
ADORA1	-0.203796826
ADORA2A	-0.113792788
ADORA2B	0.639420866
ADORA3	-0.086288664
ADPGK	0.128714042
ADPRH	-0.448125345
ADPRHL1	0.266447942
ADPRHL2	-0.580403979
ADPRM	0.084621747
ADRA1A	0.156217551
ADRA1B	-0.60427181
ADRA2B	-0.247889024
ADRB2	0.418953042
ADRB3	0.082802743
ADRBK1	-1.155457828
ADRBK2	-0.734731259
ADRM1	0.064394823
ADSL	-0.600630256
ADSS	0.014844891
ADSSL1	-0.020150552
ADTRP	0.439181676
AEBP1	0.119404819
AEBP2	-0.009020804
AEN	0.777157784
AES	-0.273576253
AFAP1	-1.964136947
AFAP1L1	-0.124924535
AFAP1L2	0.788095311
AFF1	-1.183251814
AFF2	-1.083859071
AFF3	-1.455091209
AFF4	-0.554717505
AFG3L2	-0.602450568
AFM	0.486911049
AFMID	0.619191319
AFP	0.290313621
AFTPH	0.181903047
AGA	0.753291803
AGAP1	-2.388633592
AGAP2	-0.176292081
AGAP3	-0.995664936
AGBL2	0.360092658
AGBL3	1.750970652
AGBL4	0.617373774
AGBL5	-0.992035476
AGER	0.597144447
AGFG1	-0.359940251
AGFG2	0.951720429
AGGF1	-0.088107893
AGK	0.395088462
AGL	1.859295831
AGMAT	0.108486928
AGMO	0.402364592
AGPAT1	0.147123112
AGPAT2	0.198490371
AGPAT3	-0.492218069
AGPAT4	-0.514264485
AGPAT5	-0.512444034
AGPAT6	-0.405853867
AGPAT9	-0.089927255
AGPHD1	0.52918614
AGPS	-0.383807564
AGR2	-0.141298762
AGR3	-0.185391282
AGRN	-0.224542487
AGRP	-0.007201372
AGT	0.492370491
AGTPBP1	-1.083859071
AGTR1	0.106667882
AGTR2	0.305084559
AGTRAP	-0.115612493
AGXT	0.644875971
AGXT2	0.891034851
AGXT2L1	-0.001743238
AGXT2L2	0.088260113
AHCTF1	0.536328158
AHCY	-0.067881249
AHCYL1	-0.427900189
AHCYL2	-0.427900189
AHDC1	-1.095046929
AHI1	0.455567154
AHNAK	-2.834287974
AHNAK2	27.59634509
AHR	-0.306750577
AHRR	1.004917985
AHSA1	-0.315847836
AHSA2	-0.339715008
AHSG	0.687150476
AHSP	0.413500896
AICDA	0.038710339
AIDA	-0.119252484
AIF1	0.147123112
AIF1L	0.547599505
AIFM1	-0.26993514
AIFM2	-0.398573136
AIFM3	-0.194700582
AIG1	-0.339715008
AIM1	2.11299853
AIM2	0.038710339
AIMP1	0.084621747
AIMP2	-0.356299879
AIP	-0.135838822
AIPL1	1.644346333
AIRE	-0.571310997
AJAP1	0.418953042
AK1	-0.137658575
AK2	0.21689899
AK3	0.062575634
AK4	-0.075159878
AK5	-0.800872469
AK7	-0.24061166
AK8	0.068033485
AKAP1	0.185543665
AKAP10	7.61E-05
AKAP11	1.44587039
AKAP12	0.914832296
AKAP13	1.988827491
AKAP14	0.080983847
AKAP17A	-0.632009432
AKAP2	1.455030861
AKAP3	1.207001692
AKAP4	0.665103516
AKAP5	0.72761005
AKAP6	0.297442613
AKAP7	1.640710091
AKAP8	0.497836815
AKAP8L	-0.336073593
AKAP9	0.223857359
AKD1	1.723305156
AKIP1	1.060147109
AKNA	0.378330486
AKNAD1	0.828538765
AKR1A1	0.308721233
AKR1B1	-0.181750739
AKR1B10	0.374860183
AKR1B15	0.022122107
AKR1C1	-0.091746757
AKR1C2	-0.093566408
AKR1C3	0.775339069
AKR1C4	-0.001743238
AKR1D1	-0.648365105
AKR1E2	0.619191319
AKR7A2	0.709197509
AKR7A3	1.888739204
AKT1	-1.001120478
AKT1S1	-0.203796826
AKT2	-0.648365105
AKT3	-0.251530012
AKTIP	0.014844891
ALAD	-0.558357437
ALAS1	-0.110153916
ALAS2	0.130533008
ALB	-0.88906181
ALCAM	0.198490371
ALDH16A1	0.435344483
ALDH18A1	-0.93133804
ALDH1A1	-0.53631094
ALDH1A2	-0.446304853
ALDH1A3	-0.578583623
ALDH1B1	-0.044015879
ALDH1L1	-0.163564105
ALDH1L2	-1.082044518
ALDH2	-0.844966979
ALDH3A1	0.113945049
ALDH3A2	-0.111973265
ALDH3B2	2.090866216
ALDH4A1	0.207589927
ALDH5A1	0.398725314
ALDH6A1	-0.402212257
ALDH7A1	-0.468351206
ALDH8A1	-0.574945567
ALDH9A1	-0.021969881
ALDOA	-0.580403979
ALDOB	0.062575634
ALDOC	-0.580403979
ALG1	0.044168103
ALG10	-0.291981272
ALG10B	1.552504757
ALG11	-0.490397599
ALG12	-0.641086234
ALG13	-0.999300439
ALG14	0.193034296
ALG1L	1.660947774
ALG2	0.240763792
ALG3	-0.602450568
ALG5	0.082802743
ALG6	0.286674996
ALG8	0.486911049
ALG9	0.507139401
ALK	-2.241974905
ALKBH1	0.15257911
ALKBH2	0.373041938
ALKBH3	0.396906589
ALKBH4	-0.071520315
ALKBH5	-0.405853867
ALKBH8	1.243805243
ALLC	0.99945266
ALMS1	2.285276118
ALOX12	0.801024817
ALOX12B	-0.619039275
ALOX15	-0.12856188
ALOX15B	0.981046964
ALOX5	-0.953385901
ALOX5AP	-0.229483771
ALOXE3	-0.995664936
ALPI	-0.394936437
ALPK1	1.458702267
ALPK2	4.926038688
ALPK3	0.229465655
ALPL	7.61E-05
ALPP	1.35769336
ALPPL2	0.468503535
ALS2	-1.455091209
ALS2CL	-0.918644703
ALS2CR11	2.535637851
ALS2CR12	-0.732911333
ALS2CR8	0.156217551
ALX1	0.306902668
ALX3	-0.249709319
ALX4	-0.446304853
AMACR	1.418384579
AMBN	1.554322597
AMBP	-0.488577883
AMBRA1	-0.971800989
AMD1	-0.09720619
AMDHD1	-0.001743238
AMDHD2	-0.196519234
AMELX	0.058937498
AMFR	-1.089312628
AMHR2	-0.934977358
AMICA1	0.597144447
AMIGO1	0.038710339
AMIGO2	-0.824740496
AMIGO3	-0.025608647
AMMECR1	-0.09720619
AMMECR1L	0.193034296
AMN1	-0.09720619
AMOT	0.222355725
AMOTL1	-0.437212558
AMOTL2	0.804668134
AMPD1	0.073492312
AMPD2	-1.462333834
AMPD3	-0.214928658
AMPH	0.225995239
AMT	-0.378346116
AMTN	1.304504747
AMY2B	0.110306132
AMZ1	0.258969574
AMZ2	0.507139401
ANAPC10	0.235309407
ANAPC11	0.25917371
ANAPC13	-0.053113545
ANAPC15	0.079165051
ANAPC16	0.457594962
ANAPC2	-1.658985203
ANAPC4	-0.800872469
ANAPC5	-0.554717505
ANAPC7	0.463046108
ANG	0.237127192
ANGEL1	0.578735925
ANGEL2	-0.111973265
ANGPT1	-0.337894035
ANGPT2	-0.420619508
ANGPT4	0.090079492
ANGPTL1	-0.600630256
ANGPTL2	-0.867014353
ANGPTL3	-0.113792788
ANGPTL4	0.108486928
ANGPTL5	0.374860183
ANGPTL7	0.17280645
ANK1	-3.143373593
ANK2	-3.328508946
ANK3	-3.496995436
ANKAR	2.941884491
ANKDD1A	-0.24061166
ANKFN1	0.600782551
ANKFY1	-1.747196778
ANKH	-0.378346116
ANKHD1	-2.357622074
ANKHD1-EIF4EBP3	-2.53413058
ANKIB1	-0.732911333
ANKK1	3.852160142
ANKLE1	2.804006769
ANKLE2	-0.080831688
ANKMY1	-0.226073511
ANKMY2	-0.023789244
ANKRA2	-0.317668748
ANKRD1	0.17280645
ANKRD10	0.040529541
ANKRD11	-4.377281501
ANKRD12	-0.110381106
ANKRD13A	-0.600630256
ANKRD13B	-0.758599262
ANKRD13C	-0.404032746
ANKRD13D	-0.977252525
ANKRD16	0.707379532
ANKRD17	-2.938435282
ANKRD18A	2.704844505
ANKRD2	-0.047654689
ANKRD22	0.681699246
ANKRD23	0.128714042
ANKRD24	1.877664966
ANKRD26	2.151528517
ANKRD27	-1.563550352
ANKRD28	-0.797234383
ANKRD29	-0.381986487
ANKRD30A	2.702925512
ANKRD30B	1.06196211
ANKRD32	-0.26993514
ANKRD33	1.111513261
ANKRD34A	-0.494039303
ANKRD34B	0.332586472
ANKRD34C	0.12325821
ANKRD35	0.878111845
ANKRD37	0.503505267
ANKRD39	-0.139478553
ANKRD40	-0.095386216
ANKRD42	0.062575634
ANKRD44	-0.381986487
ANKRD45	0.659651797
ANKRD46	0.125076652
ANKRD49	-0.229483771
ANKRD5	-0.369255208
ANKRD50	-1.74358502
ANKRD52	-0.909290275
ANKRD53	1.26585432
ANKRD55	0.158037129
ANKRD6	0.07167258
ANKRD7	0.747842143
ANKS1A	-1.254821849
ANKS1B	-1.216154
ANKS3	0.009173042
ANKS4B	0.17280645
ANKS6	-0.347208386
ANKZF1	0.606246644
ANLN	-1.146380093
ANO1	-1.521247944
ANO10	0.957177419
ANO2	-0.341759628
ANO3	-1.352082458
ANO4	-0.777005578
ANO5	0.584200036
ANO6	-0.08265057
ANO7	0.268088483
ANO8	-1.42004951
ANO9	-0.257204135
ANP32A	-0.075159878
ANP32B	-0.163345027
ANP32D	0.703746784
ANP32E	0.169169615
ANPEP	-0.984794421
ANTXR1	-0.909290275
ANTXR2	0.573279816
ANXA1	-0.315847836
ANXA10	0.817616644
ANXA11	0.492370491
ANXA13	0.488730112
ANXA2	0.018483465
ANXA2R	0.569646743
ANXA3	1.24016994
ANXA4	0.663285274
ANXA5	0.128714042
ANXA6	-1.129772626
ANXA7	-0.156065314
ANXA9	0.531004228
AOAH	0.957177419
AOC2	-0.124924535
AOC3	0.782621089
AOX1	-1.229158719
AP1AR	0.327131069
AP1B1	-1.52667341
AP1G1	-0.756778259
AP1G2	-1.236390924
AP1M1	-0.868835007
AP1M2	-0.867014353
AP1S1	-0.09720619
AP1S2	0.057118534
AP1S3	1.302692676
AP2A1	-1.464150033
AP2A2	-1.771059651
AP2B1	-0.957024976
AP2M1	-0.141298762
AP2S1	0.013025609
AP3B1	0.42623145
AP3B2	-1.618506764
AP3D1	-2.276539041
AP3M1	-0.404032746
AP3M2	-0.538132194
AP3S1	0.391453969
AP3S2	-0.183570861
AP4B1	-0.130380821
AP4E1	-0.659500046
AP4M1	-1.175687564
AP4S1	-0.361761279
AP5M1	0.663285274
AP5S1	0.084621747
AP5Z1	-0.604525442
APAF1	-0.08265057
APBA1	-1.440283256
APBA2	-1.390744555
APBA3	0.891034851
APBB1	-0.551080959
APBB1IP	-0.069700724
APBB2	-0.374708069
APBB3	0.178263593
APC	-2.523543479
APCDD1	-1.372317395
APCDD1L	0.420771676
APCS	-0.05129383
APEH	-0.777005578
APEX1	0.084621747
APEX2	-0.558357437
APH1A	0.125076652
APH1B	0.527368849
API5	-0.339715008
APIP	0.68351529
APITD1	0.21326276
APITD1-CORT	-0.163345027
APLF	1.065596954
APLNR	-0.622676946
APLP1	-0.683363435
APLP2	-0.709045403
APMAP	0.578735925
APOA1	-0.471992905
APOA1BP	-0.404032746
APOA2	-0.031067188
APOA4	0.358272123
APOA5	0.418953042
APOB	1.41604242
APOBEC1	1.126294249
APOBEC2	0.549415813
APOBEC3A	0.371224249
APOBEC3B	2.201139331
APOBEC3C	-0.271755481
APOBEC3D	-0.157884861
APOBEC3F	1.177658736
APOBEC3G	0.066214104
APOBEC3H	0.705562627
APOBEC4	2.107460923
APOC1	-0.053113545
APOC2	0.769889969
APOC3	0.369407109
APOC4	0.815800671
APOD	0.77170517
APOF	0.72761005
APOH	0.953537969
APOL1	1.445891753
APOL2	0.198490371
APOL3	1.177658736
APOL5	0.887394731
APOL6	-0.201976964
APOM	0.125076652
APOO	0.525552348
APOOL	-0.073340031
APOPT1	0.014844891
APP	-0.977252525
APPBP2	-0.404032746
APPL1	0.044168103
APPL2	-1.017713296
APRT	-0.095386216
APTX	0.463046108
AQP1	0.040529541
AQP10	0.104848986
AQP11	0.505321956
AQP2	-0.516085732
AQP3	-0.295622497
AQP4	-0.069700724
AQP5	-0.337894035
AQP6	0.418953042
AQP7	0.108486928
AQP8	0.262810045
AQP9	-0.22584292
AQPEP	1.36500134
AQR	-1.015898037
AR	-0.622676946
ARAF	-0.492218069
ARAP1	-1.446087194
ARAP2	-0.180160811
ARAP3	-0.712964275
ARC	-0.361761279
ARCN1	-0.626318434
ARF1	-0.141298762
ARF3	-0.031067188
ARF4	0.057118534
ARF5	0.013025609
ARF6	-0.141298762
ARFGAP1	-0.110153916
ARFGAP2	0.531004228
ARFGAP3	1.067416815
ARFGEF1	-1.745389579
ARFGEF2	-2.385043169
ARFIP1	0.106667882
ARFIP2	-0.427900189
ARFRP1	-0.139478553
ARG1	-0.249709319
ARG2	-0.047654689
ARGFX	0.327131069
ARGLU1	-0.09720619
ARHGAP1	-0.137658575
ARHGAP10	1.09310945
ARHGAP11A	-0.214928658
ARHGAP11B	0.170987912
ARHGAP12	-0.819281839
ARHGAP15	-0.624497208
ARHGAP17	-1.5928285
ARHGAP18	-0.797234383
ARHGAP19	0.352813824
ARHGAP20	-0.393118976
ARHGAP21	-0.779115343
ARHGAP22	-0.396754488
ARHGAP24	-0.617221851
ARHGAP25	0.75875178
ARHGAP26	-0.867014353
ARHGAP28	-0.352661697
ARHGAP29	-1.480759435
ARHGAP30	-0.968173992
ARHGAP31	0.587847333
ARHGAP32	-2.151949495
ARHGAP33	-1.456898556
ARHGAP35	-1.813357534
ARHGAP36	-0.758599262
ARHGAP39	-1.390744555
ARHGAP4	0.159856957
ARHGAP44	-1.48620052
ARHGAP5	-0.545632343
ARHGAP6	-0.556537043
ARHGAP8	2.302206513
ARHGAP9	-0.326979057
ARHGDIA	-0.251530012
ARHGDIB	-0.05129383
ARHGDIG	-0.159704656
ARHGEF1	-1.837219906
ARHGEF10	-1.016286421
ARHGEF10L	-0.755258792
ARHGEF11	-1.714337031
ARHGEF12	-0.323344668
ARHGEF15	0.538284722
ARHGEF16	0.246221394
ARHGEF17	-0.748045379
ARHGEF18	0.655813101
ARHGEF19	1.001272896
ARHGEF2	-0.93133804
ARHGEF25	-0.021969881
ARHGEF26	0.580556395
ARHGEF3	-0.290161348
ARHGEF33	1.060147109
ARHGEF37	1.183126933
ARHGEF4	-0.551080959
ARHGEF40	-0.226073511
ARHGEF6	0.64123826
ARHGEF7	-1.03976177
ARHGEF9	-0.117432389
ARID1A	-2.670076378
ARID1B	-2.622392448
ARID2	-1.762038945
ARID3A	-0.422438699
ARID3B	-0.224023033
ARID3C	0.52918614
ARID4A	-1.194104514
ARID4B	-0.43902969
ARID5A	-0.422438699
ARID5B	-1.03794674
ARIH1	-0.141298762
ARIH2	-0.293801652
ARL1	0.057118534
ARL10	-0.05129383
ARL11	0.703746784
ARL13A	0.058937498
ARL13B	-0.047654689
ARL14	0.305084559
ARL14EP	-0.073340031
ARL15	-0.163345027
ARL16	-0.007201372
ARL2	-0.073340031
ARL2BP	0.125076652
ARL3	-0.119252484
ARL4A	-0.075159878
ARL4C	0.035072054
ARL4D	-0.273576253
ARL5A	-0.031067188
ARL5B	-0.053113545
ARL5C	1.725294477
ARL6	-0.09720619
ARL6IP1	-0.141298762
ARL6IP5	-0.139478553
ARL6IP6	-0.005381972
ARL8A	-0.075159878
ARL8B	0.279402865
ARMC1	-0.317668748
ARMC10	0.128714042
ARMC12	-0.066061882
ARMC2	-0.551080959
ARMC3	0.558509856
ARMC4	1.118808695
ARMC5	0.251682437
ARMC6	-0.843147538
ARMC7	0.373041938
ARMC8	-0.249709319
ARMC9	0.248041348
ARMCX1	-0.405853867
ARMCX2	-0.492218069
ARMCX3	0.125076652
ARMCX5	-0.249709319
ARMS2	0.72397987
ARNT	-0.534490515
ARNT2	-0.841329384
ARNTL	-0.337894035
ARNTL2	0.553050905
ARPC1A	-0.516085732
ARPC1B	-0.336073593
ARPC2	-0.251530012
ARPC3	0.125076652
ARPC4	0.145304857
ARPC4-TTLL3	-0.709045403
ARPC5	-0.251530012
ARPC5L	-0.075159878
ARPP19	-0.009020804
ARPP21	-0.176292081
ARR3	-0.22584292
ARRB1	-0.844966979
ARRB2	-0.670411825
ARRDC1	0.112125503
ARRDC2	0.446457185
ARRDC3	-0.095386216
ARRDC4	0.463046108
ARRDC5	-0.356299879
ARSA	0.156217551
ARSB	0.020302773
ARSD	0.176444282
ARSE	0.288494088
ARSF	0.358272123
ARSG	0.314179756
ARSH	1.445891753
ARSI	-1.03976177
ARSJ	-0.091746757
ARSK	-0.26629572
ART1	1.043548753
ART3	0.218717575
ART4	0.92967242
ART5	2.173627394
ARV1	0.327131069
ARVCF	-0.053328617
AS3MT	0.549415813
ASAH1	0.514416907
ASAP1	-1.240018202
ASAP2	-1.258440978
ASAP3	-0.192882212
ASB1	-0.516085732
ASB10	0.20394914
ASB11	0.15257911
ASB12	0.485092724
ASB13	-0.179930907
ASB14	-0.734731259
ASB15	0.488730112
ASB16	1.580015895
ASB17	0.148941568
ASB2	-0.394936437
ASB3	0.154398214
ASB4	-0.580403979
ASB5	-0.512444034
ASB6	-0.089927255
ASB7	-0.339715008
ASB8	-0.293801652
ASB9	-0.119252484
ASCC1	0.795569043
ASCC2	0.582377763
ASCC3	0.130330208
ASCL3	0.593509966
ASF1A	0.035072054
ASF1B	-0.427900189
ASGR1	-0.271755481
ASGR2	-0.358119787
ASH1L	-1.798985783
ASH2L	-0.26993514
ASIC1	-0.492218069
ASIC2	-0.490397599
ASIC3	0.248041348
ASIC4	0.402364592
ASIC5	-0.50880549
ASL	-0.975433863
ASMT	0.134171522
ASMTL	2.168034562
ASNA1	-0.538132194
ASNS	-0.025608647
ASNSD1	0.222355725
ASPA	-0.115612493
ASPDH	0.681699246
ASPG	0.560331224
ASPH	-1.236390924
ASPHD1	-0.359940251
ASPHD2	-0.424258538
ASPM	1.76062236
ASPRV1	-0.246069119
ASPSCR1	-0.685180376
ASRGL1	-0.314027422
ASS1	-0.510624372
ASTE1	7.61E-05
ASTL	0.711016566
ASTN1	-1.095046929
ASTN2	-2.271160931
ASUN	-0.203796826
ASXL1	0.17442557
ASXL3	-0.66524926
ASZ1	-0.336073593
ATAD1	-0.207437529
ATAD2	-0.925889687
ATAD2B	0.246221394
ATAD3A	0.119404819
ATAD3B	2.166192036
ATAD3C	2.888598189
ATAD5	-0.053328617
ATAT1	-0.159704656
ATCAY	-0.53631094
ATE1	-0.490397599
ATF1	0.25917371
ATF2	-0.714505427
ATF3	0.103030231
ATF4	1.021500656
ATF5	0.062575634
ATF6	0.42259095
ATF6B	0.134171522
ATF7	-0.648365105
ATF7IP	0.473967469
ATF7IP2	0.069852974
ATG10	1.082196027
ATG12	0.147123112
ATG13	-0.622676946
ATG14	-0.314027422
ATG16L1	0.150760231
ATG16L2	-0.666770504
ATG2A	-1.055017884
ATG2B	0.486743222
ATG3	0.03689118
ATG4A	0.03689118
ATG4B	0.284856336
ATG4C	-0.003562597
ATG4D	-0.578583623
ATG5	0.103030231
ATG7	-0.510624372
ATG9A	-0.352661697
ATHL1	-0.701780438
ATIC	0.248041348
ATL1	-0.582225231
ATL2	-0.067881249
ATL3	-0.137658575
ATM	1.526898538
ATMIN	-0.883608246
ATN1	-0.947938165
ATOH1	-0.113792788
ATOH7	0.125076652
ATOX1	0.145304857
ATP10A	1.291519174
ATP10B	1.376027048
ATP10D	0.304886748
ATP11A	-1.605857744
ATP11B	-0.440847477
ATP11C	-0.312207497
ATP12A	-1.317365938
ATP13A1	-1.256630467
ATP13A2	-1.159397299
ATP13A3	-0.971800989
ATP13A4	-1.383523256
ATP13A5	2.035714332
ATP1A1	-0.999300439
ATP1A2	-1.374132436
ATP1A3	-1.530301957
ATP1A4	0.547404288
ATP1B1	-0.449946534
ATP1B2	-0.337894035
ATP1B3	-0.207437529
ATP1B4	0.17280645
ATP2A1	-1.392555112
ATP2A2	-1.596455314
ATP2A3	-1.471735692
ATP2B1	-1.023168368
ATP2B2	-1.943881244
ATP2B3	-1.679229468
ATP2B4	-0.832257622
ATP2C1	-0.290161348
ATP2C2	-0.345679342
ATP4A	-0.966362676
ATP4B	-0.045835247
ATP5A1	-0.380166007
